Id	Count	File(s)
4SP15	2107	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP15_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP15_R2.fastq
4SP23	1609	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP23_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP23_R2.fastq
4L6	6	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L6_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L6_R2.fastq
4L14	3	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L14_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L14_R2.fastq
4L22	11961	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L22_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L22_R2.fastq
4L30	16366	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L30_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L30_R2.fastq
4L38	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L38_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L38_R2.fastq
4L46	2870	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L46_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L46_R2.fastq
8L2	12	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L2_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L2_R2.fastq
8L10	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L10_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L10_R2.fastq
